,Unnamed: 0,ab_id,pitcher_id,p_throws,type_confidence,sz_bot,sz_top,nasty,zone,start_speed,end_speed,spin_rate,spin_dir,break_angle,break_length,break_y,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,px,pz,x,y,inning
0,2192453,2018012602,488768,R,2.0,1.63161,3.5432300000000003,72.0,14.0,91.6,83.3,2634.73,224.343,42.0,5.2,23.8,-9.47507,9.69448,-0.7098899999999999,50.0,6.1195,7.360139999999999,-132.649,-9.41692,-16.8382,29.0672,-14.9459,0.8733790000000001,1.42776,83.7,200.26,7
1,2350582,2018053025,488768,R,1.0,1.7737900000000002,3.43244,40.0,2.0,94.8,86.2,2288.38,226.095,38.5,4.9,23.8,-8.14775,7.841989999999999,-0.609464,50.0,6.29691,5.16634,-137.792,-5.5191,-15.6597,30.712,-17.102,0.231607,3.11205,108.16,154.78,2
2,2776971,2018162429,433587,R,2.0,1.5377,3.46268,29.0,14.0,89.1,81.4,1836.2,206.462,15.3,4.7,23.8,-4.29966,8.63769,-1.23236,50.0,5.79603,10.7521,-129.22799999999998,-7.77155,-7.28856,26.3159,-17.5319,2.419,1.40898,24.82,200.67,5
3,2789355,2018165589,601713,R,0.903,1.58276,3.27847,48.0,14.0,83.2,77.2,524.379,55.206,-7.7,9.6,23.9,2.4038,-1.67023,-2.43046,50.0,5.98935,7.520410000000001,-121.057,-2.75405,3.5932800000000005,22.0096,-34.6708,1.01927,1.824,78.16,189.49,4
4,2272286,2018033047,433587,R,2.0,1.62934,3.4961300000000004,29.0,13.0,90.0,81.9,2372.55,216.96400000000003,35.4,4.9,23.8,-7.471239999999999,9.92734,-2.1152900000000003,50.0,5.87654,4.2187,-130.719,-7.860519999999998,-12.8547,29.001,-15.0935,-1.44634,1.6851,172.12,193.18,3
5,2596584,2018116103,502026,R,2.0,1.4026299999999998,3.13191,59.0,14.0,81.2,75.4,1609.06,49.464,-13.9,12.0,23.9,7.002089999999999,-5.9877400000000005,-0.962537,50.0,5.8005,1.50859,-118.287,-2.47263,9.97075,21.4988,-40.7004,0.592434,1.02798,94.43,210.96,7
6,2742592,2018153727,488768,R,0.898,1.57501,3.42449,40.0,14.0,84.6,78.1,1470.32,238.965,19.8,7.6,23.9,-6.930439999999999,4.169980000000002,-0.339785,50.0,6.25614,5.25683,-122.838,-8.3656,-10.6672,22.6553,-25.7557,0.919895,0.6408,81.94,221.46,2
7,2360282,2018055483,453172,R,2.0,1.7617900000000002,3.72127,40.0,11.0,93.4,84.3,2085.22,232.252,35.1,5.3,23.8,-8.2944,6.4215300000000015,-2.22589,50.0,5.7536,6.743239999999999,-135.762,1.99759,-15.4295,30.6335,-20.2285,-0.78341,5.08815,146.89,101.45,9
8,2681399,2018138020,502026,R,2.0,1.66,3.52,61.0,4.0,81.8,76.5,762.548,32.249,-5.2,10.4,23.9,2.2880700000000003,-3.62632,-1.04136,50.0,6.0197400000000005,0.627183,-119.15,0.340747,3.34187,19.4623,-37.4705,-0.478483,2.82221,135.44,162.56,8
9,2261979,2018030384,489265,R,2.0,1.32152,3.15076,19.0,8.0,76.1,69.6,1712.17,120.672,-25.0,9.3,23.8,9.11465,5.40568,-2.99416,50.0,4.5258699999999985,4.0830199999999985,-110.792,-0.354958,11.2462,21.1466,-25.5042,0.060741,1.6813900000000002,114.68,193.29,9
10,2191671,2018012392,433587,R,2.0,1.3102,3.21754,29.0,4.0,85.0,79.0,1114.63,265.628,14.8,8.5,23.9,-6.04648,0.462337,-2.22785,50.0,5.71598,6.29281,-123.664,-2.7125,-9.4734,21.9457,-31.4497,-0.449824,1.99777,134.15,184.67,1
11,2159071,2018004207,453172,R,2.0,1.51634,3.2844300000000004,21.0,13.0,83.8,76.5,800.242,137.21,-10.0,7.7,23.8,3.05397,3.29902,-2.86141,50.0,5.4919400000000005,1.85463,-121.852,-3.52084,4.5659800000000015,25.1953,-27.2417,-1.6923400000000002,1.66038,181.51,193.96,7
12,2385174,2018061910,433587,R,2.0,1.56253,3.38119,33.0,11.0,90.5,82.6,1876.31,216.985,25.9,5.0,23.8,-5.81806,7.72486,-2.19585,50.0,5.64466,4.1729400000000005,-131.736,-4.2413300000000005,-10.25,27.3222,-18.5647,-1.34914,2.64622,168.43,167.33,1
13,2145173,2018000632,502026,R,2.0,1.589,3.467,44.0,9.0,92.8,83.5,1994.14,207.364,23.0,4.2,23.7,-4.7129,9.10544,-0.578546,50.0,5.6302,4.88997,-134.806,-6.11951,-8.51741,34.1935,-15.7182,0.662313,2.1872,108.547,123.164,11
14,2651298,2018130261,433587,R,2.0,1.43731,3.27107,11.0,5.0,77.5,71.0,1506.26,44.807,-12.3,13.2,23.8,6.48163,-6.52513,-2.3019,50.0,6.11211,3.49176,-112.597,0.31855900000000004,8.23852,22.337,-40.4679,0.115941,2.12726,112.39,181.39,1
15,2617684,2018121583,519151,R,2.0,1.50519,3.06635,33.0,12.0,95.2,87.7,1563.65,178.72299999999996,-3.2,3.6,23.9,0.168774,7.5621399999999985,-0.7035680000000001,50.0,5.81351,3.48044,-138.644,-1.77215,0.333422,26.6548,-17.2347,0.582124,4.034,94.5114,84.9727,8
16,2332180,2018048337,488768,R,1.0,1.6909599999999998,3.3849,52.0,14.0,93.7,85.6,2472.97,226.338,39.8,5.2,23.8,-8.99333,8.582469999999999,-0.262833,50.0,6.19786,6.1912699999999985,-135.719,-10.5101,-16.7364,30.3308,-16.2023,0.882224,1.14117,83.37,207.95,1
17,2658704,2018132188,453172,R,2.0,1.62487,3.3350699999999995,52.0,7.0,91.2,84.3,1839.14,277.305,23.7,8.5,23.9,-9.26171,-1.1872200000000002,-2.37934,50.0,5.25542,8.10524,-132.68200000000002,-1.98072,-16.6835,25.6009,-34.3126,-0.5037189999999999,2.02385,136.2,184.14,8
18,2862085,2018184258,489265,R,0.898,1.513,3.319,50.0,7.0,87.3,79.0,2186.56,270.222,28.0,9.2,23.8,-11.8423,-0.045917,-2.7458,50.0,4.85848,9.00009,-126.808,-0.727839,-19.1119,28.0774,-32.2482,-0.6734760000000001,1.97496,142.67,185.44,9
19,2404543,2018066851,502026,R,2.0,1.57969,3.81121,47.0,7.0,81.8,74.7,1344.4,38.697,-9.4,11.8,23.8,4.8378,-6.039,-0.852088,50.0,5.80029,-0.838483,-118.866,0.415951,6.88672,23.8543,-40.7707,-0.5822510000000001,2.2607,139.25,177.57,7
20,2849438,2018181026,601713,R,0.9,1.51311,3.44469,22.0,14.0,80.0,75.1,1452.79,30.634,-8.6,12.5,23.9,4.27891,-7.225160000000002,-2.1813,50.0,6.08021,3.88044,-116.643,-2.97372,5.951969999999998,19.958,-42.2243,0.0537759,0.844562,114.95,215.98,4
21,2721333,2018148230,488768,R,0.892,1.51184,3.31769,84.0,1.0,80.2,73.6,809.503,40.94300000000001,-6.4,11.0,23.8,3.09254,-3.56457,-0.73005,50.0,6.60733,-0.718854,-116.576,-0.152356,4.26264,21.5808,-37.0873,-0.640355,3.04509,141.41,156.59,7
22,2677514,2018137007,488768,R,0.903,1.44877,3.2372400000000003,47.0,14.0,93.5,85.6,2460.74,202.571,31.4,3.2,23.8,-4.70287,11.3133,-0.499942,50.0,6.3253900000000005,5.42604,-135.733,-8.90719,-8.837110000000003,27.6936,-10.9153,0.907202,2.25596,82.41,177.89,1
23,2800064,2018168349,502026,R,2.0,1.6269999999999998,3.549,30.0,11.0,91.2,84.1,1151.9,269.413,17.2,7.6,23.9,-5.84396,0.0599472,-1.03454,50.0,5.64944,2.73319,-132.89,-1.74973,-10.5507,25.9172,-32.0658,-0.7572399999999999,2.67434,145.86,166.57,9
24,2208768,2018016748,433587,R,2.0,1.50122,3.5163900000000003,72.0,7.0,78.8,73.5,1172.53,55.154,-12.0,11.5,23.9,5.65089,-3.93409,-2.36596,50.0,6.0140400000000005,2.91664,-114.759,-1.09161,7.61189,19.2298,-37.4734,-0.348713,1.91445,128.06,187.38,5
25,2396206,2018064763,601713,R,2.0,1.28935,3.1848,32.0,4.0,95.5,87.4,2576.61,217.30900000000003,41.9,4.0,23.8,-7.66283,10.0551,-2.79914,50.0,5.74034,9.36678,-138.61,-8.14529,-14.9214,30.7211,-12.5943,-0.37308,1.92467,131.22,186.88,4
26,2441115,2018076178,502026,R,2.0,1.6935099999999998,3.5241800000000003,6.0,13.0,91.2,84.8,1200.68,266.521,17.5,7.7,23.9,-6.05754,0.368324,-0.843117,50.0,5.42672,3.78896,-132.711,-7.0505,-10.963,24.4631,-31.5075,-0.194599,0.485117,124.42,225.68,7
27,2405535,2018067117,433587,R,2.0,1.6470599999999995,3.35945,34.0,14.0,85.5,78.8,1519.14,241.035,20.0,7.5,23.9,-7.2507199999999985,4.0132900000000005,-1.80119,50.0,5.5860400000000014,8.59024,-124.071,-7.90147,-11.3667,23.496,-25.8826,0.754725,0.221194,88.23,232.82,7
28,2291023,2018037872,433587,R,2.0,1.4517799999999998,3.39114,31.0,5.0,88.6,81.6,1867.71,237.593,27.5,6.5,23.8,-8.28887,5.2616,-2.0655900000000003,50.0,5.88617,8.11743,-128.821,-3.74204,-14.0015,25.4508,-23.2862,0.0415836,2.62573,115.41,167.89,2
29,2736409,2018152157,502026,R,2.0,1.535,3.3710000000000004,38.0,6.0,81.9,75.7,1398.37,53.37,-13.6,11.2,23.9,6.3811300000000015,-4.74402,-1.0103,50.0,5.8089,1.46721,-119.279,0.7118770000000001,9.22655,22.1644,-39.0335,0.441217,2.60192,100.19,168.57,10
30,2559788,2018106656,601713,R,2.0,1.6611599999999995,3.49346,19.0,5.0,93.9,85.1,2154.65,207.333,26.0,3.7,23.8,-4.94822,9.57282,-2.37541,50.0,5.93832,8.055760000000001,-136.464,-5.64803,-9.30645,30.7679,-14.1698,-0.0245358,2.8614,117.93,161.53,6
31,2433472,2018074239,453172,R,2.0,1.63792,3.85927,43.0,3.0,94.3,86.5,1725.35,229.571,25.4,5.2,23.8,-6.4945,5.53287,-1.86164,50.0,5.6654,9.10846,-137.00799999999998,-2.6438,-12.403,28.9285,-21.6075,0.654868,3.21905,92.04,151.88,9
32,2395631,2018064622,488768,R,1.0,1.61119,3.4035300000000004,45.0,14.0,94.5,86.5,2395.42,226.871,39.8,5.2,23.8,-8.64296,8.09601,-0.5285270000000001,50.0,6.16723,4.767919999999998,-137.116,-9.58399,-16.5228,29.1335,-16.6969,0.10626,1.4976,112.95,198.34,6
33,2776872,2018162402,433587,R,2.0,1.65005,3.5169,53.0,13.0,90.0,82.6,1813.37,236.252,27.5,6.3,23.8,-7.80911,5.21741,-2.25014,50.0,5.76281,5.76417,-130.904,-4.54522,-13.605,26.5893,-23.0843,-1.03856,2.2847,156.59,177.06,1
34,2441673,2018076333,601713,R,2.0,1.50386,3.46549,57.0,11.0,82.9,75.5,1477.02,43.976000000000006,-12.8,11.6,23.8,5.85759,-6.0705300000000015,-2.83785,50.0,6.27264,3.76991,-120.558,2.44709,8.522639999999999,25.9323,-41.0065,-0.486957,3.65174,135.55,140.24,1
35,2296932,2018039382,453172,R,2.0,1.93182,3.96586,58.0,13.0,92.7,84.8,2164.19,268.233,30.4,8.1,23.8,-10.874,0.33548,-2.41545,50.0,5.50742,7.200310000000001,-134.795,-1.3953799999999998,-20.0983,28.0437,-31.554,-1.12852,2.76476,160.01,164.12,7
36,2259030,2018029624,488768,R,2.0,1.819,3.82546,27.0,11.0,91.9,83.4,2307.02,227.939,39.1,5.5,23.8,-8.74821,7.893510000000001,-1.03674,50.0,6.32833,1.36426,-133.577,-4.98629,-15.7705,29.3773,-17.9443,-1.65487,3.14326,180.08,153.91,4
37,2376111,2018059554,601713,R,2.0,1.5846,3.43542,29.0,2.0,94.1,85.4,2409.27,208.574,32.9,3.5,23.8,-5.77054,10.5949,-2.84837,50.0,5.86557,9.1412,-136.664,-5.70766,-10.8554,31.6155,-12.2431,-0.201738,2.90079,124.69,160.48,1
38,2624313,2018123310,489265,R,0.903,1.74856,3.46749,9.0,14.0,75.9,69.2,1846.1,101.006,-25.7,11.0,23.8,11.3421,2.20594,-2.83776,50.0,4.69883,3.11488,-110.384,-0.958377,13.7878,22.3508,-29.4924,0.070063,1.11275,114.33,208.74,8
39,2444663,2018077090,433587,R,2.0,1.36063,3.20934,14.0,14.0,86.1,80.0,1754.16,250.081,24.7,7.8,23.9,-8.885819999999997,3.2199,-1.90596,50.0,5.64115,7.84265,-125.037,-6.24043,-14.214,22.7523,-27.0234,0.101138,0.925776,113.14,213.78,1
40,2249007,2018026979,433587,R,2.0,1.32109,2.89334,32.0,5.0,87.2,80.5,2297.05,238.278,34.5,6.8,23.9,-10.3843,6.41887,-2.17255,50.0,5.95798,8.66359,-126.67,-5.809080000000002,-17.0598,23.1744,-21.6288,-0.0755461,1.93241,119.88,186.6,2
41,2534026,2018100103,601713,R,2.0,1.58405,3.4148400000000003,41.0,6.0,95.3,86.6,2597.96,211.307,40.5,3.5,23.8,-6.63932,10.9163,-2.36488,50.0,5.84149,9.67644,-138.306,-7.27367,-12.8698,30.6266,-11.0136,0.315273,2.44035,104.98,172.89,1
42,2515248,2018095285,519151,R,2.0,1.2615,3.07947,30.0,6.0,95.1,87.0,2028.71,224.073,32.3,4.9,23.8,-6.96725,7.1962100000000015,-0.480199,50.0,5.82687,4.49375,-138.278,-6.3608400000000005,-13.45,31.6852,-18.282,0.263332,2.26445,106.95,177.69,8
43,2466275,2018082625,502026,R,2.0,1.50318,3.36246,31.0,5.0,97.5,90.3,2060.99,233.883,35.8,5.2,23.9,-7.87525,5.74612,-0.782086,50.0,5.53365,4.50332,-141.994,-5.47347,-16.2953,28.4049,-20.2843,-0.209874,2.31572,125.0,176.26,7
44,2507857,2018093351,488768,R,0.905,1.71343,3.5047,76.0,3.0,79.3,73.1,815.373,28.174,-5.1,11.4,23.9,2.26333,-4.22541,-0.761401,50.0,6.7866800000000005,2.2576400000000003,-115.197,-0.18361,3.05701,20.3708,-37.8812,0.523419,3.05983,97.04,156.21,2
45,2807530,2018170249,601713,R,0.685,1.81559,3.66511,49.0,14.0,84.3,78.3,1394.12,30.15,-9.4,11.5,23.9,3.88369,-6.68578,-2.47574,50.0,5.88116,7.22312,-122.679,-2.32594,5.92142,24.1648,-42.3678,1.0105,1.31116,78.48,203.41,2
46,2789383,2018165596,601713,R,0.929,1.54,3.37,43.0,6.0,94.3,86.0,2601.52,209.125,39.0,3.4,23.8,-6.28081,11.2722,-2.19597,50.0,5.991219999999998,9.14777,-136.976,-7.68543,-11.9555,29.72,-10.7176,0.367969,2.41987,102.97,173.44,5
47,2491344,2018089060,433587,R,2.0,1.44399,3.58421,59.0,13.0,84.9,79.0,1452.06,259.678,20.4,8.4,23.9,-7.76153,1.41366,-1.93133,50.0,6.00181,5.44794,-123.689,-2.66785,-12.1794,21.6835,-29.9557,-0.722611,2.43003,144.54,173.18,6
48,2234948,2018023436,453172,R,2.0,1.75823,3.65712,32.0,11.0,91.8,82.4,1955.2,223.982,30.6,5.2,23.7,-6.99679,7.24976,-2.2393,50.0,5.90219,4.02684,-133.515,-1.18874,-12.4955,31.5997,-19.2268,-1.61205,4.05325,178.45,129.34,8
49,2701410,2018143161,433587,R,2.0,1.565,3.411,23.0,4.0,89.7,82.2,1685.09,242.891,25.3,6.7,23.8,-7.782089999999998,3.98383,-1.96776,50.0,5.77691,6.8025600000000015,-130.497,-2.82841,-13.4922,26.07,-25.2671,-0.345091,2.78673,130.14,163.66,1
50,2591712,2018114863,453172,R,2.0,1.5677299999999998,3.41376,61.0,13.0,91.9,84.7,1580.88,280.737,20.1,8.5,23.8,-7.88665,-1.49543,-2.45111,50.0,5.44597,6.55083,-133.691,-3.26935,-14.3129,28.0798,-34.888000000000005,-0.996936,1.71042,155.01,192.62,9
51,2652092,2018130488,488768,R,0.905,1.58884,3.36677,28.0,14.0,85.4,79.5,713.914,156.03,-6.0,7.3,23.9,1.58282,3.55987,-0.693253,50.0,6.15376,2.83799,-124.053,-8.540989999999999,2.48016,23.5334,-26.596,0.668664,0.467541,91.51,226.16,1
52,2582822,2018112581,453172,R,2.0,1.5706,3.4653400000000003,57.0,11.0,91.4,83.9,2352.7,270.715,31.5,8.6,23.8,-11.9575,-0.149228,-2.35102,50.0,5.4662,7.84053,-132.963,-1.35294,-21.5606,26.5853,-32.4431,-0.928231,2.61227,152.38,168.25,8
53,2191809,2018012430,433587,R,2.0,1.38184,3.29123,46.0,2.0,81.3,74.7,559.914,57.052,-7.4,10.0,23.8,2.70162,-1.7509099999999995,-2.1418,50.0,5.8103,4.09063,-118.312,0.0557519,3.83176,22.4393,-34.6574,-0.0400025,2.65971,118.52,166.98,5
54,2350415,2018052984,601713,R,2.0,1.70232,3.68199,51.0,12.0,95.1,86.0,2429.92,225.663,39.9,4.5,23.8,-8.58029,8.38384,-2.73792,50.0,5.94945,12.8676,-137.889,-1.33099,-16.5188,30.6761,-16.0335,0.874403,4.37871,83.67,120.55,6
55,2651362,2018130280,433587,R,2.0,1.48,3.22,33.0,4.0,85.2,78.7,1264.14,257.507,17.7,8.2,23.9,-6.6978399999999985,1.484,-1.98709,50.0,5.9684800000000005,5.4927800000000016,-124.081,-2.52675,-10.5558,22.2935,-29.8353,-0.626559,2.47808,140.88,171.87,3
56,2168400,2018006560,502026,R,2.0,1.60063,3.51805,34.0,3.0,91.7,82.8,1808.74,215.164,23.4,4.8,23.8,-5.35296,7.598260000000002,-0.968243,50.0,5.62533,5.38509,-133.356,-3.37413,-9.5754,30.4633,-18.5823,0.388284,2.99231,102.21,157.87,8
57,2305694,2018041595,601713,R,2.0,1.706,3.5871699999999995,29.0,8.0,95.3,87.2,2520.37,208.04,36.4,3.3,23.8,-5.80622,10.9012,-2.2637400000000003,50.0,6.010669999999998,8.615219999999999,-138.474,-9.10417,-11.309,30.0197,-10.9415,0.128897,1.95471,112.09,186.0,1
58,2428220,2018072901,433587,R,2.0,1.69222,3.48347,39.0,13.0,85.0,78.4,1481.83,258.483,20.2,8.5,23.8,-7.98292,1.62664,-1.86868,50.0,5.85233,6.39163,-123.557,-4.32378,-12.3661,24.1428,-29.6543,-0.288009,1.59379,127.98,195.77,2
59,2678092,2018137157,433587,R,2.0,1.87781,3.56249,46.0,13.0,90.5,83.8,1860.56,239.081,28.2,6.4,23.9,-8.160919999999999,4.88774,-2.08656,50.0,5.79079,6.6759,-131.579,-7.42135,-14.4766,24.8221,-23.5037,-0.591391,1.22334,139.54,205.75,1
60,2826718,2018175217,502026,R,2.0,1.71324,3.4752,39.0,14.0,95.4,87.4,2092.35,203.063,21.6,3.4,23.8,-3.99238,9.37627,-0.495883,50.0,5.65108,9.04045,-138.585,-7.26222,-7.83016,28.5123,-13.7846,2.27742,2.09182,30.19,182.3,9
61,2216562,2018018722,601713,R,2.0,1.481,3.26,24.0,13.0,78.1,71.8,1936.99,40.978,-12.9,13.9,23.8,7.64244,-8.79813,-2.6338,50.0,6.09574,0.32202800000000004,-113.748,0.8900530000000001,9.95927,21.9074,-43.6394,-1.49824,2.1469400000000003,174.11,180.79,3
62,2395633,2018064622,488768,R,1.0,1.5386799999999998,3.35687,54.0,14.0,93.0,85.2,2250.42,223.848,35.2,5.0,23.8,-7.80996,8.13037,-0.39176,50.0,6.19639,6.76053,-135.07,-8.07681,-14.5145,27.7707,-17.0641,1.12166,1.98116,74.24,185.29,6
63,2376230,2018059583,601713,R,2.0,1.57007,3.49936,59.0,7.0,92.9,83.3,2865.73,208.536,44.4,3.5,23.7,-7.00259,12.8771,-2.60727,50.0,6.00487,8.01619,-134.75799999999998,-9.40684,-12.7167,32.6835,-8.78924,-0.486185,1.82327,135.53,189.55,5
64,2652097,2018130489,488768,R,0.855,1.64619,3.4657,46.0,11.0,83.9,76.2,957.464,64.61,-11.3,9.8,23.8,4.852519999999998,-2.30307,-0.93784,50.0,6.604660000000001,-0.907264,-121.96,0.346191,7.27148,25.1276,-35.6252,-0.685653,3.66321,143.14,139.86,1
65,2235079,2018023468,488768,R,2.0,1.56421,3.3623800000000004,43.0,13.0,83.5,77.2,1621.63,228.655,21.6,7.1,23.9,-6.77342,5.9598,-0.832702,50.0,6.28843,3.2195400000000003,-121.437,-6.898510000000001,-10.1907,22.1075,-23.2074,-0.374956,1.41375,131.29,200.61,4
66,2806027,2018169856,519151,R,2.0,1.47652,3.4411400000000003,62.0,1.0,95.2,86.2,2026.97,197.936,20.5,3.3,23.8,-3.08358,9.52577,-0.850201,50.0,5.8090199999999985,1.73538,-138.546,-4.7908,-5.96148,32.4976,-13.7579,-0.614524,3.13006,140.42,154.29,8
67,2150254,2018001938,453172,R,2.0,1.49122,3.38976,25.0,13.0,92.4,84.1,1973.01,272.29900000000004,26.8,8.4,23.8,-10.0857,-0.404826,-2.51293,50.0,5.49406,5.96735,-134.317,-2.70866,-18.2519,31.6465,-32.9067,-1.56178,2.11032,176.53,181.8,9
68,2269835,2018032391,519151,R,2.0,1.43965,3.30859,44.0,8.0,95.0,87.4,1764.69,182.461,2.0,3.5,23.9,-0.369342,8.586139999999999,-0.404737,50.0,5.7310300000000005,0.715557,-138.286,-7.5384,-0.722897,27.7286,-15.3688,-0.191868,1.96029,124.31,185.9,8
69,2721183,2018148185,488768,R,1.0,1.601,3.49,56.0,3.0,92.4,84.9,2086.71,225.153,33.4,5.1,23.8,-7.45143,7.4116399999999985,-0.158209,50.0,6.4436300000000015,4.4637,-134.32299999999998,-4.6161900000000005,-13.6979,27.4111,-18.5493,0.551778,3.39526,95.96,147.13,1
70,2605194,2018118329,502026,R,2.0,1.565,3.411,40.0,13.0,96.4,89.3,2313.45,246.82,37.8,6.4,23.9,-10.2487,4.38834,-1.0442,50.0,5.57637,5.09974,-140.181,-8.90757,-20.5491,29.4234,-23.3752,-0.540319,0.8516309999999999,137.6,215.81,8
71,2193577,2018012897,601713,R,2.0,1.60977,3.43992,44.0,8.0,94.0,85.4,2488.01,205.384,32.7,3.3,23.8,-5.34256,11.2589,-2.40924,50.0,6.049930000000002,7.7739600000000015,-136.418,-8.55054,-10.0295,31.0742,-11.0379,-0.211739,2.10682,125.07,181.97,2
72,2242007,2018025204,453172,R,2.0,1.34287,3.03505,63.0,13.0,91.8,84.5,2149.62,261.892,30.6,7.9,23.8,-10.7842,1.53644,-2.53046,50.0,5.32008,8.36381,-133.39700000000002,-5.7282199999999985,-19.5677,26.8191,-29.3862,-0.766304,1.04509,146.18,210.5,11
73,2444761,2018077115,433587,R,2.0,1.61211,3.47196,33.0,14.0,81.2,75.6,1030.15,57.76,-12.0,11.0,23.9,5.03381,-3.17477,-2.1682900000000003,50.0,5.62754,5.46833,-118.047,-4.06541,7.08979,22.8649,-36.6455,0.833575,0.5031,85.23,225.2,4
74,2470823,2018083787,433587,R,2.0,1.5697299999999998,3.5749699999999995,50.0,13.0,86.6,80.9,1265.21,259.876,18.1,8.0,23.9,-6.6181800000000015,1.1817,-2.01815,50.0,6.02855,4.39694,-126.175,-4.189780000000002,-10.8322,21.9905,-30.2399,-1.12603,1.95108,159.92,186.17,1
75,2849094,2018180937,433587,R,0.942,1.51905,3.36594,42.0,11.0,91.1,83.6,1668.63,206.203,17.2,4.6,23.8,-3.7524,7.62461,-1.64634,50.0,5.89207,3.60465,-132.683,-5.21186,-6.73861,26.4307,-18.4817,-0.762494,2.57,146.06,169.4,3
76,2305040,2018041423,453172,R,2.0,1.37387,3.63885,53.0,7.0,91.9,85.2,2046.96,262.445,29.3,7.8,23.9,-10.2374,1.35769,-2.45342,50.0,5.54365,8.366589999999999,-133.591,-4.63396,-18.6853,26.089,-29.696,-0.6262939999999999,1.67692,140.88,193.52,7
77,2824392,2018174607,489265,R,0.9,1.589,3.467,62.0,4.0,77.2,70.5,1313.72,110.336,-19.5,9.7,23.8,7.5380600000000015,2.79381,-2.9836,50.0,4.7790599999999985,3.1408,-112.278,1.18085,9.53336,22.0883,-28.6407,-0.583547,2.3767400000000003,139.24,174.61,9
78,2507482,2018093262,601713,R,2.0,1.50423,3.81483,46.0,13.0,95.1,87.4,2317.11,218.185,36.7,4.2,23.8,-7.0060699999999985,8.90772,-2.64356,50.0,5.85888,7.614389999999998,-138.27700000000002,-6.83282,-13.6531,28.9534,-14.8151,-0.772925,2.3740900000000003,146.46,174.68,2
79,2366422,2018057041,502026,R,2.0,1.43479,3.27416,44.0,14.0,95.9,88.1,2284.19,244.572,37.4,6.3,23.8,-10.0525,4.77914,-0.757947,50.0,5.36954,6.16751,-139.47,-6.9923899999999986,-19.8318,30.9029,-22.7456,0.174318,1.33371,110.36,202.77,10
80,2676558,2018136759,453172,R,2.0,1.61287,3.4680699999999995,65.0,13.0,91.5,85.0,1802.06,275.822,23.9,8.4,23.9,-9.05139,-0.922865,-2.61858,50.0,5.0922,6.79214,-133.19799999999998,-3.71184,-16.4596,25.3405,-33.8522,-1.22685,1.2646700000000002,163.77,204.64,7
81,2213116,2018017859,488768,R,2.0,1.6606900000000002,3.43855,31.0,1.0,81.9,74.6,1676.82,235.362,23.2,7.6,23.8,-7.898519999999999,5.45634,-0.7815,50.0,6.47886,3.68698,-119.146,-2.54604,-11.3303,23.3335,-24.347,-0.238361,3.1916,126.08,152.59,3
